side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,tl_kind,setup_role,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,parallel0_idx,parallel0_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,low_slope,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
long,bounce,2026-06-09 12:50:00,2026-06-09 16:55:00,2197,2246,232.89999389648438,229.25318959476866,229.25318959476866,238.37020034905794,137.10634260378714,0.3193206635559132,500.00000000000006,0.005000000000000001,0.015658241293628333,-3.6468043017157186,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2152, 2176, 2181)",bearish_high_tl,,2152,239.5,2181,235.39999389648438,2176,232.5,,,,,,2176,232.5,2181,235.39999389648438,-0.14137952081088362,
long,bounce,2026-06-10 10:10:00,2026-06-11 15:15:00,2262,2420,233.8000030517578,230.7991538909912,230.7991538909912,239.92084000549318,166.61950441796486,0.3895564064140256,500.0,0.005,0.012835111726248792,-3.00084916076662,-500.0,-0.005,stop,"('bearish_high_tl', 2117, 2119, 2142)",bearish_high_tl,,2117,240.39999389648438,2142,239.39999389648438,2119,236.89999389648438,,,,,,2119,236.89999389648438,2142,239.39999389648438,-0.04,
long,bounce,2026-06-12 11:05:00,2026-06-15 10:00:00,2467,2551,231.6999969482422,230.12292718811034,230.12292718811034,236.31705389099122,317.04367976607335,0.7345901963425867,500.0,0.005,0.006806516102303356,-1.5770697601318489,-500.0,-0.005,stop,"('bearish_high_tl', 2424, 2433, 2439)",bearish_high_tl,,2424,236.60000610351562,2439,235.3000030517578,2433,233.39999389648438,,,,,,2433,233.39999389648438,2439,235.3000030517578,-0.0866668701171875,
long,bounce,2026-06-15 10:05:00,2026-06-15 10:20:00,2552,2555,231.5,236.31669389648437,229.67923627929687,236.31669389648437,274.61004100351596,0.6357222449231394,499.99999999999994,0.004999999999999999,0.007865070067832082,4.816693896484367,1322.712508414957,0.01322712508414957,target,"('bearish_high_tl', 2424, 2433, 2449)",bearish_high_tl,,2424,236.60000610351562,2449,235.89999389648438,2433,233.39999389648438,,,,,,2433,233.39999389648438,2449,235.89999389648438,-0.02800048828125,
long,bounce,2026-06-15 15:55:00,2026-06-15 17:30:00,2622,2641,235.3000030517578,230.78212745424668,230.78212745424668,242.07681644802452,110.67148468529022,0.26041000684191357,500.00000000000006,0.005000000000000001,0.019200491028116818,-4.517875597511136,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2555, 2586, 2608)",bearish_high_tl,,2555,236.6999969482422,2608,235.8000030517578,2586,231.8000030517578,,,,,,2586,231.8000030517578,2608,235.8000030517578,-0.01698101691479953,
long,bounce,2026-06-16 15:55:00,2026-06-18 13:10:00,2719,2880,225.89999389648438,223.51819542236328,223.51819542236328,229.47269160766604,209.9254010919223,0.47422146825382283,500.0,0.005,0.010543596894529023,-2.381798474121098,-500.0,-0.005,stop,"('bearish_high_tl', 2689, 2703, 2709)",bearish_high_tl,,2689,229.3000030517578,2709,227.1999969482422,2703,225.5,,,,,,2703,225.5,2709,227.1999969482422,-0.10500030517578125,
long,bounce,2026-06-18 17:10:00,2026-06-23 10:25:00,2928,3138,223.1999969482422,220.298217880249,220.298217880249,227.60175694274903,172.30808696466067,0.3845916448466971,500.0,0.005,0.013000802453711808,-2.901779067993175,-500.0,-0.005,stop,"('bearish_high_tl', 2839, 2843, 2855)",bearish_high_tl,,2839,228.0,2855,227.1999969482422,2843,224.89999389648438,,,,,,2843,224.89999389648438,2855,227.1999969482422,-0.05000019073486328,
long,bounce,2026-06-23 10:30:00,2026-06-23 10:35:00,3139,3140,220.39999389648438,219.4033898742676,219.4033898742676,228.39671998901366,501.703774873224,1.1057550891990173,500.00000000000006,0.005000000000000001,0.004521796959236137,-0.9966040222167862,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2821, 2823, 2839)",bearish_high_tl,,2821,228.39999389648438,2839,228.0,2823,226.8000030517578,,,,,,2823,226.8000030517578,2839,228.0,-0.022221883138020832,
long,bounce,2026-06-23 12:25:00,2026-06-24 11:35:00,3162,3249,219.39999389648438,218.08589795250526,218.08589795250526,226.49492609252928,380.48972169108816,0.8347944261669978,500.0,0.005,0.005989498543920281,-1.3140959439791118,-500.0,-0.005,stop,"('bearish_high_tl', 3009, 3014, 3035)",bearish_high_tl,,3009,227.1999969482422,3035,226.10000610351562,3014,224.6999969482422,,,,,,3014,224.6999969482422,3035,226.10000610351562,-0.042307340181790866,
long,bounce,2026-06-24 13:20:00,2026-06-25 10:25:00,3270,3332,217.60000610351562,222.39168001098633,215.92935928922952,222.39168001098633,299.2852802425864,0.6512447880747918,500.0,0.005,0.0076776046297137935,4.7916739074707095,1434.0774682284602,0.014340774682284603,target,"('bearish_high_tl', 3192, 3205, 3211)",bearish_high_tl,,3192,223.3000030517578,3211,222.0,3205,220.6999969482422,,,,,,3205,220.6999969482422,3211,222.0,-0.06842121325041119,
long,bounce,2026-06-25 10:50:00,2026-06-25 12:25:00,3337,3356,221.1999969482422,219.1685972076416,219.1685972076416,229.09815694274903,246.13570141156617,0.5444521640109189,500.00000000000006,0.005000000000000001,0.009183543257805338,-2.031399740600591,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2709, 2713, 2730)",bearish_high_tl,,2709,227.1999969482422,2730,227.0,2713,225.5,,,,,,2713,225.5,2730,227.0,-0.009523664202008928,
