Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
192,PETKM.IS,302.0,2026-06-18 10:35:00,19.84982992362976,5.994648636936187,2026-06-18 10:40:00,19.840140609741212,5.991722464141846,-14.912543895419288,-0.0024876426957762383,Long,Closed,192
193,PETKM.IS,309.0,2026-06-29 09:50:00,19.37936061096191,5.988222428787231,2026-06-29 09:55:00,19.350630838394164,5.979344929063797,-20.845067081285112,-0.003481010822356306,Long,Closed,193
194,PETKM.IS,315.0,2026-07-01 14:35:00,19.029010229110714,5.994138222169875,2026-07-01 14:40:00,18.951029314041136,5.969574233922958,-36.52770070300961,-0.006093903635373059,Long,Closed,194
195,PETKM.IS,274.0,2026-07-21 08:10:00,21.861840152740477,5.990144201850891,2026-07-21 08:15:00,21.678300762176512,5.939854408836364,-62.21979162521362,-0.010387027345015896,Long,Closed,195
196,PGSUS.IS,33.0,2026-04-29 13:00:00,179.77960610961912,5.9327270016174305,2026-04-29 13:05:00,179.4204060974121,5.9208734012146,-23.707200805663064,-0.003996003996003829,Long,Closed,196
197,PGSUS.IS,32.0,2026-05-12 11:50:00,182.7826061096191,5.849043395507811,2026-05-12 11:55:00,182.3175,5.83416,-26.56659890331947,-0.004542041682187412,Long,Closed,197
198,PGSUS.IS,35.0,2026-05-26 09:20:00,170.97080305480955,5.983978106918335,2026-05-26 09:25:00,170.52929695129396,5.968525393295288,-27.405217123259916,-0.004579765606357344,Long,Closed,198
199,PGSUS.IS,35.0,2026-06-05 13:55:00,168.16799999999998,5.885879999999999,2026-06-05 14:00:00,167.832,5.8741200000000005,-23.51999999999931,-0.00399600399600388,Long,Closed,199
200,PGSUS.IS,32.0,2026-06-16 11:55:00,183.58339389038085,5.874668604492188,2026-06-16 12:00:00,183.11670304870606,5.859734497558594,-26.668510035644065,-0.0045395769244330544,Long,Closed,200
201,PGSUS.IS,32.0,2026-06-22 11:45:00,183.183,5.8618559999999995,2026-06-22 11:50:00,182.9169060974121,5.853340995117187,-20.230201877929904,-0.0034511598166058507,Long,Closed,201
202,PGSUS.IS,33.0,2026-06-23 08:30:00,179.77960610961912,5.9327270016174305,2026-06-23 08:35:00,179.72009390258788,5.9307630987854,-13.827392932433558,-0.002330697658709699,Long,Closed,202
203,PGSUS.IS,34.0,2026-06-30 09:10:00,176.07589389038085,5.986580392272949,2026-06-30 09:15:00,175.824,5.978016,-20.52898866522163,-0.0034291677919700172,Long,Closed,203
204,PGSUS.IS,34.0,2026-07-03 07:35:00,176.176,5.989984,2026-07-03 07:40:00,175.7240939025879,5.974619192687989,-27.32941050469917,-0.004562518114355426,Long,Closed,204
205,PGSUS.IS,35.0,2026-07-08 08:35:00,167.6675,5.868362499999999,2026-07-08 08:40:00,167.2325939025879,5.8531407865905765,-26.943216696013167,-0.004591266592002994,Long,Closed,205
206,PGSUS.IS,36.0,2026-07-13 09:10:00,166.3661969451904,5.989183090026855,2026-07-13 09:15:00,165.93390609741212,5.973620619506836,-27.525274229552597,-0.004595831153565415,Long,Closed,206
207,SAHOL.IS,63.0,2026-04-30 07:35:00,94.39430305480955,5.946841092453002,2026-04-30 07:40:00,93.906,5.916078000000001,-42.62601154545426,-0.007167841023959753,Long,Closed,207
208,SAHOL.IS,63.0,2026-05-13 08:40:00,95.09499999999998,5.9909849999999985,2026-05-13 08:45:00,94.85504695129394,5.975867957931519,-27.083895026411778,-0.004520774968792575,Long,Closed,208
209,SAHOL.IS,65.0,2026-05-18 09:30:00,91.5915,5.9534475,2026-05-18 09:35:00,91.4085,5.9415525,-23.790000000000436,-0.003996003996004069,Long,Closed,209
210,SAHOL.IS,66.0,2026-06-10 09:05:00,90.49040152740477,5.972366500808715,2026-06-10 09:10:00,90.30960152435303,5.9604337006073,-23.86560040283048,-0.0039960039960037375,Long,Closed,210
211,SAHOL.IS,59.0,2026-06-19 10:45:00,100.50040152740478,5.929523690116882,2026-06-19 10:50:00,100.29960152435302,5.917676489936828,-23.69440036010744,-0.0039960039960039995,Long,Closed,211
212,SAHOL.IS,60.0,2026-06-23 12:55:00,99.54944694519041,5.972966816711425,2026-06-23 13:00:00,99.35054695129395,5.961032817077638,-23.86799926757667,-0.003996003996003753,Long,Closed,212
213,SAHOL.IS,61.0,2026-06-25 12:20:00,97.99790152740478,5.977871993171692,2026-06-25 12:25:00,97.80210152435303,5.965928192985535,-23.88760037231352,-0.003996003996003841,Long,Closed,213
214,SAHOL.IS,61.0,2026-07-02 13:25:00,96.9468484725952,5.913757756828308,2026-07-02 13:30:00,96.95295304870605,5.914130135971069,-11.455508750038359,-0.001937094690226579,Long,Closed,214
215,SAHOL.IS,62.0,2026-07-03 12:45:00,95.39530305480956,5.914508789398193,2026-07-03 12:50:00,95.30460152435303,5.908885294509888,-17.446888972212857,-0.002949845810270255,Long,Closed,215
216,SAHOL.IS,67.0,2026-07-14 07:25:00,89.13905305480957,5.972316554672242,2026-07-14 07:30:00,88.81110152435302,5.950343802131653,-33.89541289739267,-0.005675421352352083,Long,Closed,216
217,SAHOL.IS,67.0,2026-07-17 09:50:00,89.33924999999999,5.98572975,2026-07-17 09:55:00,89.11079695129395,5.970423395736694,-27.262507409042062,-0.004554583742949983,Long,Closed,217
218,SAHOL.IS,67.0,2026-07-21 11:25:00,88.88880305480956,5.95554980467224,2026-07-21 11:25:00,88.80000305175781,0.0,-11.905150009139302,-0.0019990009990008793,Long,Open,218
219,SASA.IS,1886.0,2026-04-29 12:15:00,3.183180066823959,6.003477606029986,2026-04-29 12:20:00,3.1868100571632385,6.010323767809868,-5.167639593958668,-0.0008607743599756599,Long,Closed,219
220,SASA.IS,1754.0,2026-05-12 12:15:00,3.4234200763702383,6.004678813953398,2026-05-12 12:20:00,3.456540038108826,6.06277122684288,46.024962848685874,0.007664850073535186,Long,Closed,220
221,SASA.IS,1923.0,2026-05-13 07:55:00,3.1231198854446407,6.005759539710044,2026-05-13 08:00:00,3.116879885673523,5.993760020150185,-23.999039119719665,-0.003996003996003864,Long,Closed,221
222,SASA.IS,2264.0,2026-05-26 08:00:00,2.652650095462799,6.005599816127777,2026-05-26 08:05:00,2.6473500952720643,5.993600615695954,-23.99840086364656,-0.003996003996003846,Long,Closed,222
