Date,hmm_state,hmm_state_prob_0,hmm_state_prob_1,hmm_state_prob_2,hmm_state_prob_3
2026-06-01 16:00:00+03:00,0.0,0.9999896931207349,1.8917623724095015e-08,8.825549794631989e-06,1.462410895624126e-06
2026-06-01 16:05:00+03:00,0.0,0.9981525152623223,2.8229753170676712e-05,0.001770751080443911,4.850390313810374e-05
2026-06-01 16:10:00+03:00,2.0,2.561340326334224e-09,0.025388879978313177,0.9746111009552644,1.6506734243270024e-08
2026-06-01 16:15:00+03:00,2.0,8.010750045879247e-07,0.004166338145076634,0.9958327978372212,6.294360983195946e-08
2026-06-01 16:20:00+03:00,2.0,9.296545904384786e-10,0.045269975900689215,0.9547300229244375,2.4588040796730296e-10
2026-06-01 16:25:00+03:00,1.0,2.563750478892742e-66,0.9999999999890861,9.926077182617587e-12,1.3306738361539809e-43
2026-06-01 16:30:00+03:00,1.0,1.236706530139967e-63,0.9999999767242118,2.3274816825471584e-08,6.59809490085058e-29
2026-06-01 16:35:00+03:00,1.0,3.077293882930717e-57,0.99999992188896,7.811071385583813e-08,1.8434000892397182e-29
2026-06-01 16:40:00+03:00,1.0,4.12116606898188e-58,0.9999999859319361,1.4069218305118685e-08,2.7447667161213794e-32
2026-06-01 16:45:00+03:00,1.0,3.8706797850669626e-64,0.9999999938045221,6.195547324019781e-09,2.904993095798525e-31
2026-06-01 16:50:00+03:00,1.0,1.534182704806796e-63,0.9999999763967938,2.3603254279862724e-08,1.1243296770037922e-28
2026-06-01 16:55:00+03:00,1.0,7.34840155393996e-62,0.9999999762731026,2.3726147454414082e-08,1.6164145673252545e-28
2026-06-01 17:00:00+03:00,1.0,1.9524494981374412e-57,0.9999999114625137,8.853569290174768e-08,2.300782258344505e-27
2026-06-01 17:05:00+03:00,1.0,2.3426637747108577e-61,0.9999999669416871,3.3056919550131104e-08,1.1972951128936794e-26
2026-06-01 17:10:00+03:00,1.0,2.0188716058082225e-62,0.9999999909450707,9.055430075347234e-09,5.135989632169003e-29
2026-06-01 17:15:00+03:00,1.0,8.882210914374322e-36,0.9999982404930979,1.7595058425548513e-06,5.2184054347636184e-23
2026-06-01 17:20:00+03:00,1.0,3.8614419348330126e-24,0.999974412996315,2.5587002502215463e-05,1.4054819804188916e-20
2026-06-01 17:25:00+03:00,1.0,3.3729951862169355e-19,0.9998431887068262,0.00015681129330391642,1.9991310133112974e-19
2026-06-01 17:30:00+03:00,1.0,8.700840390588074e-19,0.9920147362588113,0.007985263741687496,9.63034574730066e-21
2026-06-01 17:35:00+03:00,1.0,7.614291757662307e-11,0.8160074660401833,0.18399253388496264,2.8546924701366845e-17
2026-06-01 17:40:00+03:00,1.0,2.5920570298563457e-06,0.5947563227920114,0.40524108515139246,1.1466037023231562e-15
2026-06-01 17:45:00+03:00,1.0,0.0008636022525929853,0.5059102553165973,0.49322614243252144,1.378781389804767e-15
2026-06-01 17:50:00+03:00,2.0,0.010470252879348432,0.4941672426973958,0.49536250442206686,1.2377205228329729e-15
2026-06-01 17:55:00+03:00,1.0,0.02997915499203608,0.5193976584991888,0.45062318650859623,1.1160104527081601e-12
2026-06-02 09:55:00+03:00,1.0,1.8053419302627147e-48,0.9999989337962916,1.0662048818232962e-06,2.1166210252425056e-20
2026-06-02 10:00:00+03:00,2.0,8.948522701405924e-38,0.44704507184647346,0.5529549219220603,6.2299989244545425e-09
2026-06-02 10:05:00+03:00,2.0,2.0464006423441074e-30,0.06123991590901675,0.9387600661089616,1.798089696108996e-08
2026-06-02 10:10:00+03:00,2.0,9.422310631465097e-30,0.015638040911185733,0.9843619460788701,1.3008342068336374e-08
2026-06-02 10:15:00+03:00,2.0,8.31488438158905e-28,0.004154740037932379,0.995845229863247,3.0099786540745975e-08
2026-06-02 10:20:00+03:00,2.0,6.694475204659941e-27,0.0008677460155666066,0.9991321989955432,5.4989753878265575e-08
2026-06-02 10:25:00+03:00,2.0,2.099574080483803e-28,0.000334136602963183,0.9996658452465291,1.8149324697049697e-08
2026-06-02 10:30:00+03:00,2.0,1.2663284045531012e-30,0.00026691805839095233,0.9997330782094259,3.732256985888118e-09
2026-06-02 10:35:00+03:00,2.0,7.622780837905579e-29,0.00021852280550727318,0.9997814637418895,1.3453075726362553e-08
2026-06-02 10:40:00+03:00,2.0,5.636315464760236e-28,0.0001277682642632453,0.9998722172216901,1.451403388217821e-08
2026-06-02 10:45:00+03:00,2.0,4.688701940842959e-11,4.713594398514159e-05,0.9999447726994249,8.091310005613984e-06
2026-06-02 10:50:00+03:00,2.0,1.0403253788940226e-12,0.0015460038734778105,0.9984478002045041,6.195919785357911e-06
2026-06-02 10:55:00+03:00,2.0,6.667200484232967e-17,0.009385214548914667,0.9906120352154741,2.750236024543818e-06
2026-06-02 11:00:00+03:00,2.0,8.241464910956192e-19,0.008104919247303968,0.991572564171523,0.0003225165797060113
2026-06-02 11:05:00+03:00,2.0,1.4698634418579325e-11,0.003081167652492425,0.8891029157627242,0.10781591657022306
2026-06-02 11:10:00+03:00,3.0,1.103511945748023e-08,0.0003750770044964717,0.3414047084155951,0.6582202035444497
2026-06-02 11:15:00+03:00,3.0,1.4034584411065087e-08,6.154328868685952e-05,0.14417012951044492,0.8557683131646064
2026-06-02 11:20:00+03:00,3.0,1.2740265236825663e-09,3.275148365437463e-05,0.09519569023414795,0.9047715570087371
2026-06-02 11:25:00+03:00,3.0,1.592081472841955e-08,9.906683465197511e-06,0.022620715769554052,0.9773693616267256
2026-06-02 11:30:00+03:00,3.0,1.0311551757499359e-08,2.0351377776393383e-06,0.002955935567028002,0.9970420189843726
2026-06-02 11:35:00+03:00,3.0,4.781132204857419e-09,4.752519152937428e-07,1.3313544799030614e-05,0.9999862064219988
2026-06-02 11:40:00+03:00,3.0,5.91214745993961e-08,4.044869469325693e-08,1.1570339753581808e-06,0.9999987433956158
2026-06-02 11:45:00+03:00,3.0,3.895736613542859e-06,3.4716852218799316e-08,9.648272164471941e-07,0.9999951047185953
2026-06-02 11:50:00+03:00,3.0,2.71123794840266e-06,4.667650190577973e-08,2.957094377003899e-07,0.9999969463762011
2026-06-02 11:55:00+03:00,3.0,8.959191391788587e-06,4.1185951961192464e-08,1.1907520198322716e-07,0.9999908805491217
2026-06-02 12:00:00+03:00,3.0,5.764796807037681e-06,1.8974333397729137e-08,2.8869758580893017e-08,0.9999941873598569
2026-06-02 12:05:00+03:00,3.0,4.142020130846043e-06,9.210851470718989e-09,7.392861091864548e-10,0.9999958480307006
2026-06-02 12:10:00+03:00,3.0,4.1118748599589057e-07,7.758987021494106e-09,3.0787083645626663e-12,0.9999995810504483
2026-06-02 12:15:00+03:00,3.0,4.792442057615884e-07,6.266277159344132e-09,2.7091411453269693e-12,0.9999995144863802
2026-06-02 12:20:00+03:00,3.0,2.4404227245729704e-07,6.939521908237872e-09,2.2823657959656576e-13,0.9999997490195116
2026-06-02 12:25:00+03:00,3.0,1.7298342146202606e-06,1.9241826720149505e-08,1.6869969813272458e-10,0.999998250755818
2026-06-02 12:30:00+03:00,3.0,2.146483821516276e-06,8.55975399668593e-09,3.247325749751222e-11,0.9999978449255225
2026-06-02 12:35:00+03:00,3.0,1.173753481830598e-06,7.60623350240993e-09,6.687787174688488e-12,0.9999988186325638
2026-06-02 12:40:00+03:00,3.0,1.140434339291936e-06,8.324933269716248e-09,5.985619500705986e-12,0.9999988512360919
2026-06-02 12:45:00+03:00,3.0,1.832673246896672e-06,1.2702657402847918e-08,1.1316019232913575e-11,0.999998154611487
